07:12:17 [LOG]      > (iCARUS) : Blobed all logs
07:13:13 [LOG]      > (iCARUS) : Got student with login iCARUS
07:13:13 [WARNING]  > (iCARUS) : Updated session (admin)
07:13:13 [LOG]      > (iCARUS) : Got session
07:13:13 [LOG]      > (iCARUS) : Got session
07:13:13 [LOG]      > (iCARUS) : Got session
07:13:13 [LOG]      > (iCARUS) : Got session
07:13:13 [LOG]      > (iCARUS) : Got all goodies
07:13:13 [LOG]      > (iCARUS) : Got thumbnail of goodies 8
07:13:13 [LOG]      > (iCARUS) : Got all filtered events
07:13:14 [LOG]      > (iCARUS) : Got thumbnail of goodies 9
07:13:14 [LOG]      > (iCARUS) : Got thumbnail of goodies 10
07:13:14 [LOG]      > (iCARUS) : Got thumbnail of event 1
07:13:51 [LOG]      > (iCARUS) : Got student with login iCARUS
07:13:51 [WARNING]  > (iCARUS) : Updated session (admin)
07:13:51 [LOG]      > (iCARUS) : Got session
07:13:51 [LOG]      > (iCARUS) : Got session
07:13:51 [LOG]      > (iCARUS) : Got session
07:13:51 [LOG]      > (iCARUS) : Got session
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student aguemazi
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student averon
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student Link
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student iCARUS
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student dhaliti
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student dsimler
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student edelarbr
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student emuller
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student isitbon
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student jdutschk
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student joberle
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student jschmitt
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student lhutt
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student loculy
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student mde-vaul
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student mernst
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student mfusil
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student mgeisler
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student misimon
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student mpankewi
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student ndick
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student pwolff
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student snow
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student stissera
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student swalter
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student thomathi
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student tkempf-e
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student tunsinge
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student tvanbael
07:13:51 [LOG]      > (iCARUS) : Got all contributions of student yabed
07:13:51 [LOG]      > (iCARUS) : Got all students
07:13:53 [LOG]      > (iCARUS) : Got student with login iCARUS
07:13:53 [WARNING]  > (iCARUS) : Updated session (admin)
07:13:53 [LOG]      > (iCARUS) : Got session
07:13:53 [LOG]      > (iCARUS) : Got all current events
07:13:53 [LOG]      > (iCARUS) : Got session
07:13:53 [LOG]      > (iCARUS) : Got session
07:13:53 [LOG]      > (iCARUS) : Got session
07:13:54 [LOG]      > (iCARUS) : Got all subscriptions for event 1
07:13:56 [LOG]      > (iCARUS) : Got all subscriptions for event 2
07:13:57 [LOG]      > (iCARUS) : Got student with login iCARUS
07:13:57 [WARNING]  > (iCARUS) : Updated session (admin)
07:13:57 [LOG]      > (iCARUS) : Got session
07:13:57 [LOG]      > (iCARUS) : Got session
07:13:57 [LOG]      > (iCARUS) : Got all contributions
